"Speaker","Word","approximants","Begin_Time_s","End_Time_s","Duration_ms","F0_20","F0_50","F0_80","F1_20","F1_50","F1_80","F2_20","F2_50","F2_80","F3_20","F3_50","F3_80","appsequence","vocalic","POA","Education","Age","Gender","POB","Manner","approximants_only"
"Ogbomoso1","year","j",80.26,80.32,60,189.6947118,180.460205,179.4608271,415.0849364,545.9316309,521.5147126,2318.370065,2196.508173,1831.934046,2587.240758,2558.619902,2582.225522,"jV","prevocalic","palatal","Degree","Young adult","female","south-west","glide","j"
"Ogbomoso10","Newton","j",1.04,1.142599361,102.5993608,201.5156354,206.4841459,211.6273363,422.4211258,432.7670214,476.9968163,1976.622814,1460.549896,1078.593559,3399.087656,2511.961132,2600.747502,"jV","prevocalic","palatal","Degree","Young adult","male","south-west","glide","j"
"Ogbomoso10","floor","l",3.86,3.966879903,106.8799028,146.4061288,137.5881589,131.8469481,361.3154778,450.9427934,449.3529547,1777.723758,1065.316437,980.1828075,3148.003346,2370.856812,2518.886481,"lV","prevocalic","lateral","Degree","Young adult","male","south-west","liquid","l"
"Ogbomoso10","new","j",4.42,4.51,90,148.117976,149.4000925,147.163761,439.2649581,452.5046183,448.4571467,955.021493,1905.910489,1090.542829,2361.750398,2386.306198,2458.458162,"jV","prevocalic","palatal","Degree","Young adult","male","south-west","glide","j"
"Ogbomoso10","from","r",5.01,5.04,30,135.2916609,132.300904,130.1222198,462.7556695,436.5733973,433.5883942,756.7576632,867.5052807,903.6409533,2379.617572,2362.839915,2359.224034,"rV","prevocalic","palatal","Degree","Young adult","male","south-west","liquid","r"
"Ogbomoso10","music","j",5.912447504,6.014246779,101.7992749,159.561621,162.3224937,160.1434342,385.2951544,391.2642677,439.4888764,581.2389115,752.4236824,1290.20725,2862.482324,2413.87402,2273.972466,"jV","prevocalic","palatal","Degree","Young adult","male","south-west","glide","j"
"Ogbomoso10","quest","w",7.834445172,7.910794629,76.34945621,165.7406038,170.6946456,171.6990072,378.0108124,405.7233751,444.5812145,777.8100178,863.9969978,1041.153345,2389.984831,2514.129679,2475.245583,"wV","prevocalic","bilabial","Degree","Young adult","male","south-west","glide","w"
"Ogbomoso10","quite","w",8.299501746,8.393264236,93.76249008,173.5457027,166.1967089,167.3516141,526.578211,614.2330821,574.7106586,993.1232661,1248.570877,1564.332869,2100.980667,1898.126848,1925.803822,"wV","prevocalic","bilabial","Degree","Young adult","male","south-west","glide","w"
"Ogbomoso10","quickly","w",8.58,8.654459744,74.4597442,303.8787905,296.1690311,266.8953971,317.3782325,311.090979,276.6846926,2097.362256,1799.731843,1630.405909,2399.464901,2368.847504,2375.081845,"wV","prevocalic","bilabial","Degree","Young adult","male","south-west","glide","w"
"Ogbomoso10","quickly","l",8.729438529,8.824540483,95.10195422,155.5737133,159.0401457,154.529219,319.5312211,327.3566339,473.2189201,1805.092875,2230.425761,1997.473837,2506.964156,2279.33322,3581.432375,"lV","prevocalic","lateral","Degree","Young adult","male","south-west","liquid","l"
